,Location,Times,Tweets
463,Oregon,2018-02-27 19:30:00,8
464,Oregon,2018-02-27 19:45:00,5
465,Oregon,2018-02-27 20:00:00,4
466,Oregon,2018-02-27 20:15:00,3
467,Oregon,2018-02-27 20:30:00,3
468,Oregon,2018-02-27 20:45:00,6
469,Oregon,2018-02-27 21:00:00,12
470,Oregon,2018-02-27 21:15:00,9
471,Oregon,2018-02-27 21:30:00,4
472,Oregon,2018-02-27 21:45:00,8
473,Oregon,2018-02-27 22:00:00,8
474,Oregon,2018-02-27 22:15:00,8
475,Oregon,2018-02-27 22:30:00,7
476,Oregon,2018-02-27 22:45:00,5
477,Oregon,2018-02-27 23:00:00,6
478,Oregon,2018-02-27 23:15:00,3
479,Oregon,2018-02-27 23:30:00,11
480,Oregon,2018-02-27 23:45:00,7
481,Oregon,2018-02-28 00:00:00,7
482,Oregon,2018-02-28 00:15:00,4
483,Oregon,2018-02-28 00:30:00,5
484,Oregon,2018-02-28 00:45:00,4
485,Oregon,2018-02-28 01:00:00,4
486,Oregon,2018-02-28 01:15:00,3
487,Oregon,2018-02-28 01:30:00,2
488,Oregon,2018-02-28 01:45:00,6
489,Oregon,2018-02-28 02:00:00,2
490,Oregon,2018-02-28 02:15:00,1
491,Oregon,2018-02-28 02:30:00,1
492,Oregon,2018-02-28 02:45:00,1
493,Oregon,2018-02-28 03:00:00,2
494,Oregon,2018-02-28 03:15:00,4
495,Oregon,2018-02-28 03:30:00,1
496,Oregon,2018-02-28 03:45:00,2
497,Oregon,2018-02-28 04:00:00,0
498,Oregon,2018-02-28 04:15:00,0
499,Oregon,2018-02-28 04:30:00,0
500,Oregon,2018-02-28 04:45:00,0
501,Oregon,2018-02-28 05:00:00,0
502,Oregon,2018-02-28 05:15:00,0
503,Oregon,2018-02-28 05:30:00,1
504,Oregon,2018-02-28 05:45:00,1
505,Oregon,2018-02-28 06:00:00,0
506,Oregon,2018-02-28 06:15:00,0
507,Oregon,2018-02-28 06:30:00,0
508,Oregon,2018-02-28 06:45:00,1
509,Oregon,2018-02-28 07:00:00,2
